entity,entity code,date,series,generation_TWh
Argentina,ARG,01/04/2022,Total Generation,10.45
Argentina,ARG,01/05/2022,Bioenergy,0.09
Argentina,ARG,01/05/2022,Coal,0.25
Argentina,ARG,01/05/2022,Gas,6.57
Argentina,ARG,01/05/2022,Hydro,2.34
Argentina,ARG,01/05/2022,Nuclear,0.63
Argentina,ARG,01/05/2022,Other Fossil,0.21
Argentina,ARG,01/05/2022,Solar,0.19
Argentina,ARG,01/05/2022,Wind,1.14
Argentina,ARG,01/05/2022,Total Generation,11.42
Argentina,ARG,01/06/2022,Bioenergy,0.1
Argentina,ARG,01/06/2022,Coal,0.41
Argentina,ARG,01/06/2022,Gas,6.82
Argentina,ARG,01/06/2022,Hydro,3.09
Argentina,ARG,01/06/2022,Nuclear,0.68
Argentina,ARG,01/06/2022,Other Fossil,0.26
Argentina,ARG,01/06/2022,Solar,0.16
Argentina,ARG,01/06/2022,Wind,1.09
Argentina,ARG,01/06/2022,Total Generation,12.61
Argentina,ARG,01/07/2022,Bioenergy,0.11
Argentina,ARG,01/07/2022,Coal,0.33
Argentina,ARG,01/07/2022,Gas,6.83
Argentina,ARG,01/07/2022,Hydro,2.52
Argentina,ARG,01/07/2022,Nuclear,0.74
Argentina,ARG,01/07/2022,Other Fossil,0.17
Argentina,ARG,01/07/2022,Solar,0.18
Argentina,ARG,01/07/2022,Wind,1.22
Argentina,ARG,01/07/2022,Total Generation,12.1
Argentina,ARG,01/08/2022,Bioenergy,0.11
Argentina,ARG,01/08/2022,Coal,0.23
Argentina,ARG,01/08/2022,Gas,5.69
Argentina,ARG,01/08/2022,Hydro,2.72
Argentina,ARG,01/08/2022,Nuclear,0.95
Argentina,ARG,01/08/2022,Other Fossil,0.22
Argentina,ARG,01/08/2022,Solar,0.23
Argentina,ARG,01/08/2022,Wind,1.18
Argentina,ARG,01/08/2022,Total Generation,11.33
Argentina,ARG,01/09/2022,Bioenergy,0.1
Argentina,ARG,01/09/2022,Coal,0.12
Argentina,ARG,01/09/2022,Gas,5.18
Argentina,ARG,01/09/2022,Hydro,2.38
Argentina,ARG,01/09/2022,Nuclear,0.7
Argentina,ARG,01/09/2022,Other Fossil,0.17
Argentina,ARG,01/09/2022,Solar,0.26
Argentina,ARG,01/09/2022,Wind,1.13
Argentina,ARG,01/09/2022,Total Generation,10.04
Argentina,ARG,01/10/2022,Bioenergy,0.1
Argentina,ARG,01/10/2022,Coal,0.11
Argentina,ARG,01/10/2022,Gas,4.89
Argentina,ARG,01/10/2022,Hydro,3.86
Argentina,ARG,01/10/2022,Nuclear,0.07
Argentina,ARG,01/10/2022,Other Fossil,0.06
Argentina,ARG,01/10/2022,Solar,0.32
Argentina,ARG,01/10/2022,Wind,1.3
Argentina,ARG,01/10/2022,Total Generation,10.71
Argentina,ARG,01/11/2022,Bioenergy,0.1
Argentina,ARG,01/11/2022,Coal,0.1
Argentina,ARG,01/11/2022,Gas,5.94
Argentina,ARG,01/11/2022,Hydro,3.81
Argentina,ARG,01/11/2022,Nuclear,0.03
Argentina,ARG,01/11/2022,Other Fossil,0.19
Argentina,ARG,01/11/2022,Solar,0.3
Argentina,ARG,01/11/2022,Wind,1.14
Argentina,ARG,01/11/2022,Total Generation,11.61
Argentina,ARG,01/12/2022,Bioenergy,0.1
Argentina,ARG,01/12/2022,Coal,0.35
Argentina,ARG,01/12/2022,Gas,7.14
Argentina,ARG,01/12/2022,Hydro,2.99
Argentina,ARG,01/12/2022,Nuclear,0.39
Argentina,ARG,01/12/2022,Other Fossil,0.27
Argentina,ARG,01/12/2022,Solar,0.3
Argentina,ARG,01/12/2022,Wind,1.23
Argentina,ARG,01/12/2022,Total Generation,12.77
Argentina,ARG,01/01/2023,Bioenergy,0.09
Argentina,ARG,01/01/2023,Coal,0.43
Argentina,ARG,01/01/2023,Gas,7.68
Argentina,ARG,01/01/2023,Hydro,2.73
Argentina,ARG,01/01/2023,Nuclear,0.63
Argentina,ARG,01/01/2023,Other Fossil,0.34
Argentina,ARG,01/01/2023,Solar,0.31
Argentina,ARG,01/01/2023,Wind,1.15
Argentina,ARG,01/01/2023,Total Generation,13.36
Argentina,ARG,01/02/2023,Bioenergy,0.08
Argentina,ARG,01/02/2023,Coal,0.28
