entity,entity code,date,series,generation_TWh
Australia,AUS,2020-02-01,Gas,2.14
Australia,AUS,2020-02-01,Hydro,1.05
Australia,AUS,2020-02-01,Other Fossil,0.0
Australia,AUS,2020-02-01,Solar,1.75
Australia,AUS,2020-02-01,Wind,1.39
Australia,AUS,2020-02-01,Total Generation,18.49
Australia,AUS,2020-02-01,Net Imports,0.0
Australia,AUS,2020-03-01,Demand,18.41
Australia,AUS,2020-03-01,Clean,4.63
Australia,AUS,2020-03-01,Fossil,13.78
Australia,AUS,2020-03-01,Gas and Other Fossil,2.02
Australia,AUS,2020-03-01,"Hydro, Bioenergy and Other Renewables",1.08
Australia,AUS,2020-03-01,Renewables,4.63
Australia,AUS,2020-03-01,Wind and Solar,3.55
Australia,AUS,2020-03-01,Bioenergy,0.01
Australia,AUS,2020-03-01,Coal,11.76
Australia,AUS,2020-03-01,Gas,2.02
Australia,AUS,2020-03-01,Hydro,1.07
Australia,AUS,2020-03-01,Other Fossil,0.0
Australia,AUS,2020-03-01,Solar,1.84
Australia,AUS,2020-03-01,Wind,1.71
Australia,AUS,2020-03-01,Total Generation,18.41
Australia,AUS,2020-03-01,Net Imports,0.0
Australia,AUS,2020-04-01,Demand,17.0
Australia,AUS,2020-04-01,Clean,4.36
Australia,AUS,2020-04-01,Fossil,12.64
Australia,AUS,2020-04-01,Gas and Other Fossil,1.64
Australia,AUS,2020-04-01,"Hydro, Bioenergy and Other Renewables",1.24
Australia,AUS,2020-04-01,Renewables,4.36
Australia,AUS,2020-04-01,Wind and Solar,3.12
Australia,AUS,2020-04-01,Bioenergy,0.01
Australia,AUS,2020-04-01,Coal,11.0
Australia,AUS,2020-04-01,Gas,1.64
Australia,AUS,2020-04-01,Hydro,1.23
Australia,AUS,2020-04-01,Other Fossil,0.0
Australia,AUS,2020-04-01,Solar,1.54
Australia,AUS,2020-04-01,Wind,1.58
Australia,AUS,2020-04-01,Total Generation,17.0
Australia,AUS,2020-04-01,Net Imports,0.0
Australia,AUS,2020-05-01,Demand,18.41
Australia,AUS,2020-05-01,Clean,4.74
Australia,AUS,2020-05-01,Fossil,13.67
Australia,AUS,2020-05-01,Gas and Other Fossil,2.0
Australia,AUS,2020-05-01,"Hydro, Bioenergy and Other Renewables",1.49
Australia,AUS,2020-05-01,Renewables,4.74
Australia,AUS,2020-05-01,Wind and Solar,3.25
Australia,AUS,2020-05-01,Bioenergy,0.01
Australia,AUS,2020-05-01,Coal,11.67
Australia,AUS,2020-05-01,Gas,2.0
Australia,AUS,2020-05-01,Hydro,1.48
Australia,AUS,2020-05-01,Other Fossil,0.0
Australia,AUS,2020-05-01,Solar,1.35
Australia,AUS,2020-05-01,Wind,1.9
Australia,AUS,2020-05-01,Total Generation,18.41
Australia,AUS,2020-05-01,Net Imports,0.0
Australia,AUS,2020-06-01,Demand,18.91
Australia,AUS,2020-06-01,Clean,4.36
Australia,AUS,2020-06-01,Fossil,14.55
Australia,AUS,2020-06-01,Gas and Other Fossil,2.22
Australia,AUS,2020-06-01,"Hydro, Bioenergy and Other Renewables",1.55
Australia,AUS,2020-06-01,Renewables,4.36
Australia,AUS,2020-06-01,Wind and Solar,2.81
Australia,AUS,2020-06-01,Bioenergy,0.02
Australia,AUS,2020-06-01,Coal,12.33
Australia,AUS,2020-06-01,Gas,2.22
Australia,AUS,2020-06-01,Hydro,1.53
Australia,AUS,2020-06-01,Other Fossil,0.0
Australia,AUS,2020-06-01,Solar,1.16
Australia,AUS,2020-06-01,Wind,1.65
Australia,AUS,2020-06-01,Total Generation,18.91
Australia,AUS,2020-06-01,Net Imports,0.0
Australia,AUS,2020-07-01,Demand,19.85
Australia,AUS,2020-07-01,Clean,4.43
Australia,AUS,2020-07-01,Fossil,15.42
Australia,AUS,2020-07-01,Gas and Other Fossil,2.58
Australia,AUS,2020-07-01,"Hydro, Bioenergy and Other Renewables",1.56
Australia,AUS,2020-07-01,Renewables,4.43
Australia,AUS,2020-07-01,Wind and Solar,2.87
Australia,AUS,2020-07-01,Bioenergy,0.02
Australia,AUS,2020-07-01,Coal,12.84
Australia,AUS,2020-07-01,Gas,2.58
Australia,AUS,2020-07-01,Hydro,1.54
Australia,AUS,2020-07-01,Other Fossil,0.0
Australia,AUS,2020-07-01,Solar,1.31
Australia,AUS,2020-07-01,Wind,1.56
Australia,AUS,2020-07-01,Total Generation,19.85
Australia,AUS,2020-07-01,Net Imports,0.0
Australia,AUS,2020-08-01,Demand,19.35
Australia,AUS,2020-08-01,Clean,5.11
Australia,AUS,2020-08-01,Fossil,14.24
Australia,AUS,2020-08-01,Gas and Other Fossil,2.03
Australia,AUS,2020-08-01,"Hydro, Bioenergy and Other Renewables",1.25
Australia,AUS,2020-08-01,Renewables,5.11
Australia,AUS,2020-08-01,Wind and Solar,3.86
Australia,AUS,2020-08-01,Bioenergy,0.03
Australia,AUS,2020-08-01,Coal,12.21
Australia,AUS,2020-08-01,Gas,2.03
Australia,AUS,2020-08-01,Hydro,1.22
Australia,AUS,2020-08-01,Other Fossil,0.0
Australia,AUS,2020-08-01,Solar,1.65
Australia,AUS,2020-08-01,Wind,2.21
Australia,AUS,2020-08-01,Total Generation,19.35
Australia,AUS,2020-08-01,Net Imports,0.0
Australia,AUS,2020-09-01,Demand,17.36
Australia,AUS,2020-09-01,Clean,5.33
Australia,AUS,2020-09-01,Fossil,12.03
Australia,AUS,2020-09-01,Gas and Other Fossil,1.38
Australia,AUS,2020-09-01,"Hydro, Bioenergy and Other Renewables",1.09
Australia,AUS,2020-09-01,Renewables,5.33
Australia,AUS,2020-09-01,Wind and Solar,4.24
Australia,AUS,2020-09-01,Bioenergy,0.04
Australia,AUS,2020-09-01,Coal,10.65
Australia,AUS,2020-09-01,Gas,1.38
Australia,AUS,2020-09-01,Hydro,1.05
Australia,AUS,2020-09-01,Other Fossil,0.0
Australia,AUS,2020-09-01,Solar,1.94
Australia,AUS,2020-09-01,Wind,2.3
Australia,AUS,2020-09-01,Total Generation,17.36
Australia,AUS,2020-09-01,Net Imports,0.0
Australia,AUS,2020-10-01,Demand,17.71
Australia,AUS,2020-10-01,Clean,5.54
Australia,AUS,2020-10-01,Fossil,12.17
Australia,AUS,2020-10-01,Gas and Other Fossil,1.62
Australia,AUS,2020-10-01,"Hydro, Bioenergy and Other Renewables",1.25
Australia,AUS,2020-10-01,Renewables,5.54
Australia,AUS,2020-10-01,Wind and Solar,4.29
Australia,AUS,2020-10-01,Bioenergy,0.04
Australia,AUS,2020-10-01,Coal,10.55
Australia,AUS,2020-10-01,Gas,1.62
Australia,AUS,2020-10-01,Hydro,1.21
Australia,AUS,2020-10-01,Other Fossil,0.0
Australia,AUS,2020-10-01,Solar,2.26
Australia,AUS,2020-10-01,Wind,2.03
Australia,AUS,2020-10-01,Total Generation,17.71
Australia,AUS,2020-10-01,Net Imports,0.0
Australia,AUS,2020-11-01,Demand,18.05
