entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_yoy_change_twh,generation_yoy_change_pct,generation_share_yoy_change_pct_points,generation_yoy_change_kwh_per_capita,generation_ytd_twh,generation_ytd_share_pct,generation_ytd_kwh_per_capita
"Viet Nam","VNM",false,"2020-05","Wind",false,0.07,0.33,0.71,0.07,,0.33,0.71,0.63,0.66,6.42
"Viet Nam","VNM",false,"2020-06","Coal",false,11.68,54.02,119.09,1.28,12.31,5.56,13.05,69.78,59.64,711.47
"Viet Nam","VNM",false,"2020-06","Gas",false,3.29,15.22,33.54,-0.55,-14.32,-2.67,-5.61,19.23,16.44,196.07
"Viet Nam","VNM",false,"2020-06","Hydro",false,5.83,26.97,59.44,-0.29,-4.74,-1.55,-2.96,21.55,18.42,219.72
"Viet Nam","VNM",false,"2020-06","Other fossil",false,0,0,0,-0.58,-100,-2.7,-5.91,1.03,0.88,10.5
"Viet Nam","VNM",false,"2020-06","Solar",false,0.75,3.47,7.65,0.23,44.23,1.05,2.35,4.71,4.03,48.02
"Viet Nam","VNM",false,"2020-06","Total generation",true,21.62,100,220.43,0.16,0.75,0,1.63,117,100,1192.91
"Viet Nam","VNM",false,"2020-06","Wind",false,0.07,0.32,0.71,0.07,,0.32,0.71,0.7,0.6,7.14
"Viet Nam","VNM",false,"2020-07","Coal",false,11.1,48.58,113.17,0.63,6.02,0.24,6.42,80.88,57.83,824.64
"Viet Nam","VNM",false,"2020-07","Gas",false,3.16,13.83,32.22,-0.49,-13.42,-3.02,-5,22.39,16.01,228.28
"Viet Nam","VNM",false,"2020-07","Hydro",false,7.67,33.57,78.2,0.77,11.16,1.71,7.85,29.22,20.89,297.92
"Viet Nam","VNM",false,"2020-07","Other fossil",false,0,0,0,0,,0,0,1.03,0.74,10.5
"Viet Nam","VNM",false,"2020-07","Solar",false,0.85,3.72,8.67,0.21,32.81,0.77,2.14,5.56,3.98,56.69
"Viet Nam","VNM",false,"2020-07","Total generation",true,22.85,100,232.97,1.19,5.49,0,12.13,139.85,100,1425.89
"Viet Nam","VNM",false,"2020-07","Wind",false,0.07,0.31,0.71,0.07,,0.31,0.71,0.77,0.55,7.85
"Viet Nam","VNM",false,"2020-08","Coal",false,8,37.52,81.57,-0.99,-11.01,-5.35,-10.09,88.88,55.15,906.21
"Viet Nam","VNM",false,"2020-08","Gas",false,2.56,12.01,26.1,-0.79,-23.58,-3.97,-8.05,24.95,15.48,254.39
"Viet Nam","VNM",false,"2020-08","Hydro",false,9.81,46.01,100.02,1.84,23.09,8,18.76,39.03,24.22,397.94
"Viet Nam","VNM",false,"2020-08","Other fossil",false,0.01,0.05,0.1,0,0,0,0,1.04,0.65,10.6
"Viet Nam","VNM",false,"2020-08","Solar",false,0.83,3.89,8.46,0.18,27.69,0.79,1.84,6.39,3.96,65.15
"Viet Nam","VNM",false,"2020-08","Total generation",true,21.32,100,217.38,0.35,1.67,0,3.57,161.17,100,1643.26
"Viet Nam","VNM",false,"2020-08","Wind",false,0.11,0.52,1.12,0.11,,0.52,1.12,0.88,0.55,8.97
"Viet Nam","VNM",false,"2020-09","Coal",false,8.42,39.87,85.85,-0.04,-0.47,-3.83,-0.41,97.3,53.38,992.06
"Viet Nam","VNM",false,"2020-09","Gas",false,2.46,11.65,25.08,-0.58,-19.08,-4.05,-5.91,27.41,15.04,279.47
"Viet Nam","VNM",false,"2020-09","Hydro",false,9.35,44.27,95.33,2.1,28.97,6.82,21.41,48.38,26.54,493.27
"Viet Nam","VNM",false,"2020-09","Other fossil",false,0,0,0,0,,0,0,1.04,0.57,10.6
"Viet Nam","VNM",false,"2020-09","Solar",false,0.84,3.98,8.56,0.23,37.7,0.83,2.35,7.23,3.97,73.72
"Viet Nam","VNM",false,"2020-09","Total generation",true,21.12,100,215.34,1.76,9.09,0,17.94,182.29,100,1858.6
"Viet Nam","VNM",false,"2020-09","Wind",false,0.05,0.24,0.51,0.05,,0.24,0.51,0.93,0.51,9.48
"Viet Nam","VNM",false,"2020-10","Coal",false,6.45,32.17,65.76,-3.05,-32.11,-15.43,-31.1,103.75,51.28,1057.82
"Viet Nam","VNM",false,"2020-10","Gas",false,2.27,11.32,23.14,-1.06,-31.83,-5.36,-10.81,29.68,14.67,302.61
"Viet Nam","VNM",false,"2020-10","Hydro",false,10.54,52.57,107.46,4.3,68.91,21.31,43.84,58.92,29.12,600.74
"Viet Nam","VNM",false,"2020-10","Other fossil",false,0,0,0,-0.39,-100,-1.95,-3.98,1.04,0.51,10.6
"Viet Nam","VNM",false,"2020-10","Solar",false,0.72,3.59,7.34,0.27,60,1.34,2.75,7.95,3.93,81.06
"Viet Nam","VNM",false,"2020-10","Total generation",true,20.05,100,204.43,0.09,0.45,0,0.92,202.34,100,2063.03
"Viet Nam","VNM",false,"2020-10","Wind",false,0.07,0.35,0.71,0.02,40,0.1,0.2,1,0.49,10.2
"Viet Nam","VNM",false,"2020-11","Coal",false,10,43.07,101.96,-1.03,-9.34,-5.29,-10.5,113.75,50.43,1159.78
"Viet Nam","VNM",false,"2020-11","Gas",false,4.02,17.31,40.99,-0.29,-6.73,-1.59,-2.96,33.7,14.94,343.6
"Viet Nam","VNM",false,"2020-11","Hydro",false,7.94,34.19,80.95,1.14,16.76,4.38,11.62,66.86,29.64,681.69
"Viet Nam","VNM",false,"2020-11","Other fossil",false,0.28,1.21,2.85,0.28,,1.21,2.85,1.32,0.59,13.46
"Viet Nam","VNM",false,"2020-11","Solar",false,0.83,3.57,8.46,0.83,,3.57,8.46,8.78,3.89,89.52
"Viet Nam","VNM",false,"2020-11","Total generation",true,23.22,100,236.75,0.41,1.8,0,4.18,225.56,100,2299.77
"Viet Nam","VNM",false,"2020-11","Wind",false,0.15,0.65,1.53,-0.52,-77.61,-2.29,-5.3,1.15,0.51,11.73
"Viet Nam","VNM",false,"2020-12","Coal",false,8.33,38.64,84.93,-1.57,-15.86,-8.44,-16.01,122.08,49.4,1244.71
"Viet Nam","VNM",false,"2020-12","Gas",false,3.01,13.96,30.69,-0.63,-17.31,-3.35,-6.42,36.71,14.86,374.29
"Viet Nam","VNM",false,"2020-12","Hydro",false,9.25,42.9,94.31,2.26,32.33,9.66,23.04,76.11,30.8,776.01
"Viet Nam","VNM",false,"2020-12","Other fossil",false,0.08,0.37,0.82,-0.05,-38.46,-0.25,-0.51,1.4,0.57,14.27
"Viet Nam","VNM",false,"2020-12","Solar",false,0.8,3.71,8.16,0.43,116.22,1.95,4.38,9.58,3.88,97.68
"Viet Nam","VNM",false,"2020-12","Total generation",true,21.56,100,219.82,0.53,2.52,0,5.4,247.12,100,2519.6
"Viet Nam","VNM",false,"2020-12","Wind",false,0.09,0.42,0.92,0.09,,0.42,0.92,1.24,0.5,12.64
