Date;Country;Region;Export;Import
02/2021;Bra-xin;Others;153,377.75;253,059.72
03/2021;Bra-xin;Others;184,934.79;320,510.85
04/2021;Bra-xin;Others;167,321.40;399,694.03
05/2021;Bra-xin;Others;211,472.66;359,765.25
06/2021;Bra-xin;Others;183,651.42;423,408.14
07/2021;Bra-xin;Others;195,697.13;358,468.60
08/2021;Bra-xin;Others;199,953.46;235,620.36
09/2021;Bra-xin;Others;179,047.20;371,451.38
10/2021;Bra-xin;Others;176,077.14;285,227.92
11/2021;Bra-xin;Others;213,024.67;277,189.27
12/2021;Bra-xin;Others;226,007.21;396,047.20
01/2022;Bra-xin;Others;193,182.47;357,665.54
02/2022;Bra-xin;Others;147,255.25;371,022.38
03/2022;Bra-xin;Others;192,763.91;447,285.06
04/2022;Bra-xin;Others;212,646.07;460,372.65
05/2022;Bra-xin;Others;191,860.23;561,303.22
06/2022;Bra-xin;Others;176,523.33;327,673.52
07/2022;Bra-xin;Others;177,723.17;354,274.96
08/2022;Bra-xin;Others;204,114.02;274,414.52
09/2022;Bra-xin;Others;166,830.84;233,388.86
10/2022;Bra-xin;Others;199,899.83;297,887.81
11/2022;Bra-xin;Others;179,044.32;413,897.52
12/2022;Bra-xin;Others;195,710.78;448,688.96
01/2023;Bra-xin;Others;163,108.46;369,619.25
02/2023;Bra-xin;Others;206,608.76;351,059.43
03/2023;Bra-xin;Others;271,202.11;388,236.61
04/2023;Bra-xin;Others;214,546.13;359,482.55
05/2023;Bra-xin;Others;265,070.71;226,589.67
06/2023;Bra-xin;Others;165,721.72;315,863.04
07/2023;Bra-xin;Others;186,175.47;376,586.32
08/2023;Bra-xin;Others;212,302.44;392,266.76
09/2023;Bra-xin;Others;161,588.51;461,821.20
10/2023;Bra-xin;Others;202,827.72;535,097.76
11/2023;Bra-xin;Others;179,190.18;288,065.02
12/2023;Bra-xin;Others;209,732.02;610,088.58
01/2024;Bra-xin;Others;231,341.47;569,312.50
02/2024;Bra-xin;Others;222,467.07;497,282.80
03/2024;Bra-xin;Others;222,212.35;461,806.92
04/2024;Bra-xin;Others;225,975.10;358,738.72
05/2024;Bra-xin;Others;236,240.29;470,600.86
06/2024;Bra-xin;Others;180,407.63;288,590.87
07/2024;Bra-xin;Others;212,048.69;414,720.89
08/2024;Bra-xin;Others;247,798.68;402,379.41
09/2024;Bra-xin;Others;214,877.30;358,265.40
10/2024;Bra-xin;Others;233,491.03;544,744.16
11/2024;Bra-xin;Others;193,058.11;531,073.58
12/2024;Bra-xin;Others;180,121.57;479,746.83
01/2025;Bra-xin;Others;204,686.43;467,651.38
02/2025;Bra-xin;Others;183,861.60;582,266.33
03/2025;Bra-xin;Others;276,561.32;469,147.35
