entity,entity code,date,series,generation_TWh,precipitation,solar,humidity,temperature,time_idx,month_num,month,month_sin,month_cos,target_lag_1,target_lag_3,target_lag_6,target_lag_12,target_roll_mean_3,target_roll_std_3,target_roll_mean_6,target_roll_std_6,target_roll_mean_12,target_roll_std_12,sample_weight
Peru,PER,2021-11-01,Gas,1.87,7362.71,18.39693889,14.30063333,21.19093548,46,11,11,-0.5000000000000004,0.8660254037844384,2.07,2.37,1.68,2.33,2.273333333333333,0.17616280348965258,2.1283333333333334,0.26103001104598283,1.7383333333333333,0.5727260702248074,1.6941074346097416
Peru,PER,2021-12-01,Gas,1.49,9173.99,18.2425,15.08786559,21.58408429,47,12,12,-2.4492935982947064e-16,1.0,1.87,2.38,2.05,1.58,2.1066666666666665,0.25696951829610837,2.1599999999999997,0.20019990009987318,1.7000000000000002,0.5442091843800837,1.57797338380595
Peru,PER,2022-01-01,Gas,1.54,5522.73,19.72589247,15.29135484,22.09376691,48,1,1,0.49999999999999994,0.8660254037844387,1.49,2.07,2.22,0.97,1.8099999999999998,0.2946183972531262,2.066666666666667,0.34203313679622627,1.6925,0.5466280936132649,1.5937377450509227
Peru,PER,2022-02-01,Gas,1.22,8342.23,18.29458333,15.47341071,22.07793203,49,2,2,0.8660254037844386,0.5000000000000001,1.54,1.87,2.37,1.04,1.6333333333333335,0.20647840887931715,1.9533333333333334,0.390316111205605,1.74,0.5009990019950135,1.489966442575134
Peru,PER,2022-03-01,Gas,1.3,10410.41,18.04786559,15.6518871,22.09228408,50,3,3,1.0,6.123233995736766e-17,1.22,1.49,2.38,1.24,1.4166666666666667,0.17214335111567536,1.7616666666666667,0.425554540178655,1.7550000000000001,0.48040702439796673,1.51657508881031
Peru,PER,2022-04-01,Gas,1.07,8750.22,17.40281111,14.91177222,21.53324731,51,4,4,0.8660254037844387,-0.4999999999999998,1.3,1.54,2.07,0.93,1.3533333333333333,0.1665332799572948,1.5816666666666668,0.32920611577956266,1.7599999999999998,0.47483968586537373,1.438749456993816
Peru,PER,2022-05-01,Gas,1.72,6487.4,15.09974731,14.0148172,20.68438085,52,5,5,0.49999999999999994,-0.8660254037844387,1.07,1.22,1.87,1.68,1.1966666666666665,0.1167618659209195,1.415,0.282329594623023,1.7716666666666665,0.45384886017129905,1.649242250247064
Peru,PER,2022-06-01,Gas,2.1,4695.8,14.7952,13.22843889,20.0256171631,53,6,6,1.2246467991473532e-16,-1.0,1.72,1.3,1.49,2.05,1.3633333333333333,0.32959571194621873,1.39,0.23698101189757906,1.7750000000000001,0.45326091221883896,1.760681686165901
Peru,PER,2022-07-01,Gas,2.44,4903.61,15.11083871,13.32508602,20.5444693,54,7,7,-0.4999999999999997,-0.8660254037844388,2.1,1.07,1.54,2.22,1.6300000000000001,0.5208646657242181,1.4916666666666665,0.37759325558948614,1.7791666666666666,0.4562387400021916,1.8547236990991407
Peru,PER,2022-08-01,Gas,2.48,3542.21,15.80098925,12.6037137134,20.25271072,55,8,8,-0.8660254037844385,-0.5000000000000004,2.44,1.72,1.22,2.37,2.0866666666666664,0.3601851375797377,1.6416666666666666,0.5431175440608291,1.7975,0.4793959267092849,1.865475810617763
